Time,latitude,longitude,Eastward Velocity,Northward Velocity,Potential Temperature,Sea Surface Height,Salinity,Mixed Layer Thickness,Bottom Temperature,Mean Sea Level Pressure,10m u-component of wind,10m v-component of wind,Snow Depth,Total Precipitation,Surface Runoff,Sub-surface Runoff,Snowmelt,Significant Wave Height,Mean Wave Period,Mean Wave Direction
2025-01-01 00:00:00,53.467,-3.111,0.030000001,0.120000005,6.8589993,3.19,30.832,12.799955,6.8449993,100310.98,5.281004,1.9235744,0.0,0.0028972256,5.3e-05,2.75e-05,0.0,1.4197855,5.8635416,252.72202
2025-01-01 01:00:00,53.467,-3.111,-0.043,0.09,6.8639994,2.312,30.793,11.899956,6.842999,100216.914,5.3384314,1.771574,0.0,0.0029208174,8.32e-05,2.75e-05,0.0,1.3247395,5.8393927,254.80586
2025-01-01 02:00:00,53.467,-3.111,-0.109000005,0.05,6.8589993,0.97200006,30.743,4.2999554,6.8319993,100109.29,5.274579,1.301897,0.0,0.0032953564,0.00016494225,4.71e-05,0.0,1.2490511,5.811858,256.6289
2025-01-01 03:00:00,53.467,-3.111,-0.158,-0.002,6.8509994,-0.453,30.678,7.6999555,6.8249993,99990.266,4.8756638,0.09058815,0.0,0.0034243474,0.00021459212,0.000113499744,0.0,1.1961889,5.76449,258.66968
2025-01-01 04:00:00,53.467,-3.111,-0.172,-0.022000002,6.8509994,-1.7270001,30.602,7.999955,6.822999,99876.016,4.266779,-1.41288,0.0,0.0032548795,0.0003168392,6.38e-05,0.0,1.1609101,5.721428,260.7952
2025-01-01 05:00:00,53.467,-3.111,-0.13900001,-0.034,6.842999,-2.7740002,30.636,6.999955,6.8249993,99841.42,5.7807274,-3.7650766,0.0,0.0026616787,0.000182773,9.88e-05,0.0,1.1709404,5.5887585,263.869
2025-01-01 06:00:00,53.467,-3.111,-0.054,-0.091000006,6.8379993,-3.315,30.691,6.499955,6.829999,99886.99,6.926263,-1.6091452,0.0,0.001997935,7.03e-05,9.22e-05,0.0,1.234921,5.444016,264.93112
2025-01-01 07:00:00,53.467,-3.111,0.08400001,-0.123,6.8309994,-2.88,30.7,4.2999554,6.828999,99921.16,8.139849,1.8239288,0.0,0.0009087466,1.83e-05,4.84e-05,0.0,1.3531761,5.3642883,262.09512
2025-01-01 08:00:00,53.467,-3.111,0.185,-0.063,6.8259993,-1.5350001,30.7,8.199955,6.8259993,99977.19,9.538251,2.6741626,0.0,0.00018204904,3.76e-06,2.75e-05,0.0,1.5506544,5.389081,259.3828
2025-01-01 09:00:00,53.467,-3.111,0.202,-0.024,6.8309994,0.37300003,30.709,10.099956,6.8319993,100040.2,9.600689,3.1081553,0.0,3.36e-05,3.29e-07,2.75e-05,0.0,1.7627902,5.520444,258.3049
2025-01-01 10:00:00,53.467,-3.111,0.16900001,0.063,6.842999,2.1560001,30.74,11.799955,6.8449993,100055.9,9.308544,2.9327726,0.0,6.13e-05,2.65e-07,2.75e-05,0.0,1.8941336,5.6855297,259.11603
2025-01-01 11:00:00,53.467,-3.111,0.11400001,0.10700001,6.856999,3.2370002,30.773,12.799955,6.859999,100105.805,9.6779995,1.2840977,0.0,6.53e-05,3.98e-07,2.76e-05,0.0,1.9788132,5.78957,262.025
